he4_theta,p_theta
12.5616,49.4255
12.5718,49.3793
12.582,49.3331
12.5922,49.2869
12.6024,49.2407
12.6126,49.1945
12.6227,49.1483
12.6328,49.1022
12.6429,49.056
12.653,49.0099
12.663,48.9637
12.673,48.9176
12.683,48.8715
12.693,48.8254
12.703,48.7793
12.7129,48.7332
12.7229,48.6871
12.7327,48.6411
12.7426,48.595
12.7525,48.549
12.7623,48.5029
12.7721,48.4569
12.7819,48.4108
12.7917,48.3648
12.8015,48.3188
12.8112,48.2728
12.8209,48.2268
12.8306,48.1809
12.8402,48.1349
12.8499,48.0889
12.8595,48.043
12.8691,47.997
12.8787,47.9511
12.8882,47.9052
12.8978,47.8592
12.9073,47.8133
12.9168,47.7674
12.9262,47.7215
12.9357,47.6757
12.9451,47.6298
12.9545,47.5839
12.9639,47.5381
12.9733,47.4922
12.9826,47.4464
12.9919,47.4006
13.0012,47.3547
13.0105,47.3089
13.0197,47.2631
13.0289,47.2173
13.0381,47.1715
13.0473,47.1258
13.0564,47.08
13.0656,47.0342
13.0747,46.9885
13.0838,46.9428
13.0928,46.897
13.1019,46.8513
13.1109,46.8056
13.1199,46.7599
13.1289,46.7142
13.1378,46.6685
13.1468,46.6229
13.1557,46.5772
13.1645,46.5315
13.1734,46.4859
13.1822,46.4402
13.1911,46.3946
13.1998,46.349
13.2086,46.3034
13.2173,46.2578
13.2261,46.2122
13.2348,46.1666
13.2434,46.121
13.2521,46.0754
13.2607,46.0299
13.2693,45.9843
13.2779,45.9388
13.2864,45.8933
13.295,45.8477
13.3035,45.8022
13.312,45.7567
13.3204,45.7112
13.3289,45.6657
13.3373,45.6203
13.3457,45.5748
13.354,45.5293
13.3624,45.4839
13.3707,45.4384
13.379,45.393
13.3872,45.3476
13.3955,45.3022
13.4037,45.2568
13.4119,45.2114
13.42,45.166
13.4282,45.1206
13.4363,45.0752
13.4444,45.0299
13.4525,44.9845
13.4605,44.9392
13.4685,44.8938
13.4766,44.8485
13.4845,44.8032
13.4925,44.7579
13.5004,44.7126
13.5083,44.6673
13.5162,44.622
13.524,44.5767
13.5318,44.5315
13.5396,44.4862
13.5474,44.441
13.5552,44.3957
13.5629,44.3505
13.5706,44.3053
13.5782,44.2601
13.5859,44.2149
13.5935,44.1697
13.6011,44.1245
13.6087,44.0793
13.6162,44.0341
13.6237,43.989
13.6313,43.9438
13.6387,43.8987
13.6462,43.8536
13.6536,43.8084
13.661,43.7633
13.6683,43.7182
13.6757,43.6731
13.683,43.628
13.6903,43.583
13.6975,43.5379
13.7048,43.4928
13.712,43.4478
13.7192,43.4027
13.7263,43.3577
13.7335,43.3127
13.7406,43.2677
13.7477,43.2227
13.7547,43.1777
13.7617,43.1327
13.7687,43.0877
13.7757,43.0427
13.7826,42.9978
13.7896,42.9528
13.7965,42.9079
13.8033,42.8629
13.8102,42.818
13.817,42.7731
13.8238,42.7282
13.8305,42.6833
13.8373,42.6384
13.844,42.5935
13.8507,42.5486
13.8573,42.5038
13.8639,42.4589
13.8705,42.4141
13.8771,42.3692
13.8837,42.3244
13.8902,42.2796
13.8967,42.2348
13.9031,42.19
13.9096,42.1452
13.916,42.1004
13.9223,42.0556
13.9287,42.0108
13.935,41.9661
13.9413,41.9213
13.9476,41.8766
13.9538,41.8318
13.96,41.7871
13.9662,41.7424
13.9724,41.6977
13.9785,41.653
13.9846,41.6083
13.9907,41.5636
13.9967,41.5189
14.0027,41.4743
14.0087,41.4296
14.0147,41.385
14.0206,41.3403
14.0265,41.2957
14.0324,41.2511
14.0383,41.2065
14.0441,41.1619
14.0499,41.1173
14.0556,41.0727
14.0614,41.0281
14.0671,40.9835
14.0728,40.939
14.0784,40.8944
14.084,40.8499
14.0896,40.8054
14.0952,40.7608
14.1007,40.7163
14.1062,40.6718
14.1117,40.6273
14.1171,40.5828
14.1226,40.5383
14.1279,40.4939
14.1333,40.4494
14.1386,40.4049
14.1439,40.3605
14.1492,40.3161
14.1544,40.2716
14.1596,40.2272
14.1648,40.1828
14.17,40.1384
14.1751,40.094
14.1802,40.0496
14.1853,40.0052
14.1903,39.9609
14.1953,39.9165
14.2003,39.8722
14.2052,39.8278
14.2101,39.7835
14.215,39.7391
14.2199,39.6948
14.2247,39.6505
14.2295,39.6062
14.2343,39.5619
14.239,39.5176
14.2437,39.4734
14.2484,39.4291
14.253,39.3848
14.2576,39.3406
14.2622,39.2963
14.2667,39.2521
14.2713,39.2079
14.2757,39.1637
14.2802,39.1195
14.2846,39.0753
14.289,39.0311
14.2934,38.9869
14.2977,38.9427
14.302,38.8986
14.3063,38.8544
14.3106,38.8103
14.3148,38.7661
14.3189,38.722
14.3231,38.6779
14.3272,38.6338
14.3313,38.5897
14.3354,38.5456
14.3394,38.5015
14.3434,38.4574
14.3473,38.4133
14.3513,38.3693
14.3552,38.3252
14.359,38.2812
14.3629,38.2371
14.3667,38.1931
14.3705,38.1491
14.3742,38.1051
14.3779,38.061
14.3816,38.0171
14.3852,37.9731
14.3888,37.9291
14.3924,37.8851
14.3959,37.8412
14.3995,37.7972
14.4029,37.7533
14.4064,37.7093
14.4098,37.6654
14.4132,37.6215
14.4165,37.5776
14.4199,37.5337
14.4232,37.4898
14.4264,37.4459
14.4296,37.402
14.4328,37.3581
14.436,37.3143
14.4391,37.2704
14.4422,37.2266
14.4453,37.1827
14.4483,37.1389
14.4513,37.0951
14.4542,37.0513
14.4572,37.0075
14.46,36.9637
14.4629,36.9199
14.4657,36.8761
14.4685,36.8323
14.4713,36.7886
