A_4He,E_4He,A_p,E_p
11.726466,159.098,52.964033,162.487
11.703037,159.291,53.057848,161.721
11.679537,159.484,53.151699,160.956
11.655967,159.676,53.245585,160.192
11.632327,159.868,53.339507,159.429
11.608618,160.06,53.433465,158.667
11.584839,160.251,53.527457,157.906
11.56099,160.443,53.621485,157.146
11.537073,160.634,53.715549,156.387
11.513087,160.824,53.809647,155.629
11.489033,161.015,53.903782,154.873
11.464911,161.205,53.997951,154.117
11.440721,161.395,54.092155,153.363
11.416463,161.585,54.186395,152.609
11.392138,161.774,54.28067,151.857
11.367747,161.963,54.37498,151.106
11.343288,162.152,54.469326,150.356
11.318763,162.34,54.563706,149.607
11.294172,162.529,54.658122,148.859
11.269515,162.717,54.752573,148.112
11.244793,162.904,54.847058,147.367
11.220005,163.092,54.941579,146.622
11.195152,163.279,55.036135,145.879
11.170234,163.465,55.130725,145.137
11.145252,163.652,55.225351,144.396
11.120206,163.838,55.320011,143.657
11.095095,164.024,55.414707,142.918
11.069921,164.21,55.509437,142.181
11.044683,164.395,55.604202,141.445
11.019382,164.58,55.699002,140.71
10.994019,164.765,55.793836,139.976
10.968592,164.949,55.888706,139.244
10.943103,165.133,55.98361,138.513
10.917552,165.317,56.078548,137.783
10.891939,165.5,56.173521,137.054
10.866264,165.683,56.268529,136.327
10.840528,165.866,56.363572,135.6
10.814731,166.049,56.458648,134.876
10.788873,166.231,56.55376,134.152
10.762955,166.413,56.648905,133.43
10.736976,166.594,56.744086,132.709
10.710937,166.775,56.8393,131.989
10.684838,166.956,56.934549,131.27
10.658679,167.137,57.029832,130.553
10.632462,167.317,57.125149,129.838
10.606185,167.497,57.220501,129.123
10.579849,167.676,57.315887,128.41
10.553455,167.855,57.411307,127.698
10.527002,168.034,57.506761,126.988
10.500492,168.213,57.602249,126.279
10.473923,168.391,57.697771,125.571
10.447297,168.569,57.793327,124.865
10.420614,168.746,57.888917,124.16
10.393873,168.923,57.98454,123.456
10.367076,169.1,58.080198,122.754
10.340222,169.276,58.175889,122.053
10.313312,169.452,58.271615,121.354
10.286345,169.628,58.367374,120.656
10.259323,169.803,58.463166,119.959
10.232245,169.978,58.558992,119.264
10.205112,170.153,58.654852,118.571
10.177924,170.327,58.750745,117.878
10.150681,170.501,58.846672,117.187
10.123383,170.675,58.942632,116.498
10.096031,170.848,59.038626,115.81
10.068624,171.021,59.134653,115.124
10.041164,171.193,59.230713,114.439
10.01365,171.365,59.326807,113.755
9.986082,171.537,59.422933,113.073
