p_theta,he6_theta
48.4473,8.71992
48.4935,8.71392
48.5398,8.70792
48.586,8.70188
48.6323,8.69584
48.6786,8.68977
48.7249,8.6837
48.7712,8.6776
48.8175,8.67149
48.8638,8.66536
48.9102,8.65922
48.9565,8.65305
49.0029,8.64687
49.0492,8.64067
49.0956,8.63446
49.142,8.62823
49.1884,8.62199
49.2348,8.61572
49.2812,8.60944
49.3277,8.60314
49.3741,8.59684
49.4206,8.5905
49.467,8.58416
49.5135,8.57779
49.56,8.57142
49.6065,8.56501
49.653,8.55861
49.6995,8.55217
49.746,8.54574
49.7925,8.53927
49.8391,8.5328
49.8856,8.5263
49.9322,8.51979
49.9788,8.51326
50.0253,8.50673
50.0719,8.50016
50.1185,8.49359
50.1652,8.48699
50.2118,8.48039
50.2584,8.47376
50.3051,8.46713
50.3517,8.46047
50.3984,8.4538
50.4451,8.44711
50.4918,8.44041
50.5385,8.43369
50.5852,8.42696
50.6319,8.4202
50.6786,8.41344
50.7254,8.40665
50.7721,8.39986
50.8189,8.39304
50.8656,8.38622
50.9124,8.37936
50.9592,8.37251
51.006,8.36562
51.0528,8.35874
51.0996,8.35182
51.1465,8.3449
51.1933,8.33796
51.2402,8.33101
51.287,8.32403
51.3339,8.31705
51.3808,8.31004
51.4277,8.30303
51.4746,8.29599
51.5215,8.28895
51.5684,8.28188
51.6154,8.27481
51.6623,8.26771
51.7093,8.2606
51.7562,8.25347
51.8032,8.24634
51.8502,8.23917
51.8972,8.23201
51.9442,8.22482
51.9912,8.21762
52.0383,8.2104
52.0853,8.20318
52.1323,8.19592
52.1794,8.18867
52.2265,8.18138
52.2736,8.1741
52.3206,8.16678
52.3677,8.15947
52.4149,8.15213
52.462,8.14478
52.5091,8.13741
52.5562,8.13003
52.6034,8.12263
52.6506,8.11522
52.6977,8.10779
52.7449,8.10036
52.7921,8.09289
52.8393,8.08543
52.8865,8.07794
52.9337,8.07045
52.981,8.06293
53.0282,8.0554
53.0755,8.04785
53.1227,8.0403
53.17,8.03272
53.2173,8.02514
53.2646,8.01753
53.3119,8.00992
53.3592,8.00228
53.4065,7.99465
53.4539,7.98698
53.5012,7.97931
53.5486,7.97162
53.596,7.96392
53.6433,7.9562
53.6907,7.94847
53.7381,7.94072
53.7855,7.93297
53.8329,7.92518
53.8804,7.9174
53.9278,7.90959
53.9753,7.90178
54.0227,7.89395
54.0702,7.88611
54.1177,7.87824
54.1652,7.87038
54.2127,7.86248
54.2602,7.85459
54.3077,7.84666
54.3552,7.83874
54.4028,7.83079
54.4503,7.82284
54.4979,7.81486
54.5454,7.80689
54.593,7.79888
54.6406,7.79087
54.6882,7.78284
54.7358,7.77481
54.7834,7.76675
54.8311,7.75869
54.8787,7.7506
54.9264,7.74251
54.974,7.73439
55.0217,7.72628
55.0694,7.71814
55.1171,7.70999
55.1648,7.70182
55.2125,7.69365
55.2602,7.68546
55.3079,7.67726
55.3557,7.66904
55.4034,7.66081
55.4512,7.65256
55.499,7.64431
55.5468,7.63603
55.5945,7.62776
55.6424,7.61945
55.6902,7.61115
55.738,7.60282
55.7858,7.59449
55.8337,7.58613
55.8815,7.57777
55.9294,7.56939
55.9772,7.561
56.0251,7.5526
56.073,7.54419
56.1209,7.53575
56.1688,7.52731
56.2168,7.51885
56.2647,7.51039
56.3126,7.5019
56.3606,7.49341
56.4086,7.4849
56.4565,7.47639
56.5045,7.46785
56.5525,7.45931
56.6005,7.45074
56.6485,7.44217
56.6966,7.43358
56.7446,7.42499
56.7926,7.41638
56.8407,7.40776
56.8887,7.39912
56.9368,7.39048
56.9849,7.38181
57.033,7.37314
57.0811,7.36445
57.1292,7.35576
57.1773,7.34704
57.2255,7.33832
57.2736,7.32958
57.3217,7.32083
57.3699,7.31207
57.4181,7.3033
57.4663,7.29451
57.5145,7.28571
57.5627,7.27689
57.6109,7.26808
57.6591,7.25924
57.7073,7.25039
