A_p,CM angle
46.8072,79.29
46.8529,79.2
46.8987,79.11
46.9444,79.02
46.9901,78.93
47.0359,78.84
47.0816,78.75
47.1274,78.66
47.1732,78.57
47.219,78.48
47.2647,78.39
47.3105,78.3
47.3564,78.21
47.4022,78.12
47.448,78.03
47.4938,77.94
47.5397,77.85
47.5855,77.76
47.6314,77.67
47.6773,77.58
47.7232,77.49
47.769,77.4
47.815,77.31
47.8609,77.22
47.9068,77.13
47.9527,77.04
47.9986,76.95
48.0446,76.86
48.0905,76.77
48.1365,76.68
48.1825,76.59
48.2285,76.5
48.2744,76.41
48.3204,76.32
48.3665,76.23
48.4125,76.14
48.4585,76.05
48.5045,75.96
48.5506,75.87
48.5966,75.78
48.6427,75.69
48.6888,75.6
48.7348,75.51
48.7809,75.42
48.827,75.33
48.8731,75.24
48.9192,75.15
48.9654,75.06
49.0115,74.97
49.0576,74.88
49.1038,74.79
49.15,74.7
49.1961,74.61
49.2423,74.52
49.2885,74.43
49.3347,74.34
49.3809,74.25
49.4271,74.16
49.4733,74.07
49.5196,73.98
49.5658,73.89
49.612,73.8
49.6583,73.71
49.7046,73.62
49.7509,73.53
49.7971,73.44
49.8434,73.35
49.8897,73.26
49.9361,73.17
49.9824,73.08
50.0287,72.99
50.075,72.9
50.1214,72.81
50.1678,72.72
50.2141,72.63
50.2605,72.54
50.3069,72.45
50.3533,72.36
50.3997,72.27
50.4461,72.18
50.4925,72.09
50.5389,72
50.5854,71.91
50.6318,71.82
50.6783,71.73
50.7247,71.64
50.7712,71.55
50.8177,71.46
50.8642,71.37
50.9107,71.28
50.9572,71.19
51.0037,71.1
51.0503,71.01
51.0968,70.92
51.1433,70.83
51.1899,70.74
51.2365,70.65
51.283,70.56
51.3296,70.47
51.3762,70.38
51.4228,70.29
51.4694,70.2
51.516,70.11
51.5627,70.02
51.6093,69.93
51.6559,69.84
51.7026,69.75
51.7493,69.66
51.7959,69.57
51.8426,69.48
51.8893,69.39
51.936,69.3
51.9827,69.21
52.0294,69.12
52.0761,69.03
52.1229,68.94
52.1696,68.85
52.2164,68.76
52.2631,68.67
52.3099,68.58
52.3567,68.49
52.4035,68.4
52.4503,68.31
52.4971,68.22
52.5439,68.13
52.5907,68.04
52.6375,67.95
52.6844,67.86
52.7312,67.77
52.7781,67.68
52.8249,67.59
52.8718,67.5
52.9187,67.41
52.9656,67.32
53.0125,67.23
53.0594,67.14
